subject,session,common_clip_idx,window_start_rel_s,window_end_rel_s,gt_window_start_wall,gt_window_end_wall,window_duration_sec,gt_hr_bpm,video_RAW_YUV420_clip_idx,video_RAW_YUV420_pred_hr_bpm,video_RAW_YUV420_err_bpm,android_311YJP3P3080D200020_clip_idx,android_311YJP3P3080D200020_pred_hr_bpm,android_311YJP3P3080D200020_err_bpm,best_camera_by_err
Felix Lee,v01,2,10.602999925613403,20.001859188079834,1774421425.0467339,1774421434.4122639,9.39885926246643,82.26176760426561,2,82.05667012823132,0.20509747603429673,2,50.1719995236025,32.08976808066311,video_RAW_YUV420
Felix Lee,v01,3,20.835999965667725,29.984172344207764,1774421435.279734,1774421444.3945189,9.148172378540039,79.88960381499066,3,79.93154240190056,0.04193858690989316,3,79.28529406124719,0.604309753743479,video_RAW_YUV420
Felix Lee,v01,4,31.10199999809265,39.98838400840759,1774421445.545734,1774421454.3988357,8.886384010314941,80.3554628126755,4,81.43259795469906,1.0771351420235646,4,81.74224966808616,1.3867868554106622,video_RAW_YUV420
Felix Lee,v01,5,41.33299994468689,49.98409104347229,1774421455.7767339,1774421464.3945515,8.6510910987854,84.09141354221937,5,84.30217335669956,0.2107598144801841,5,83.15523782000358,0.9361757222157934,video_RAW_YUV420
Hugo,v01,1,0.0,10.031999826431274,1774410103.655945,1774410113.6546159,10.031999826431274,82.14495023047459,1,84.48561809058194,2.340667860107345,1,143.34559704920173,61.20064681872714,video_RAW_YUV420
Hugo,v01,2,10.031964540481567,20.04897427558899,1774410113.6879096,1774410123.6716402,10.017009735107422,78.7158609397411,2,103.85619008696888,25.140329147227774,2,72.88617937373319,5.82968156600792,android_311YJP3P3080D200020
Hugo,v01,3,20.13599991798401,30.080145120620728,1774410123.791945,1774410133.7027206,9.944145202636719,79.94356159432465,3,80.78363882715894,0.8400772328342896,3,149.92797212073268,69.98441052640803,video_RAW_YUV420
Hugo,v01,4,30.4469997882843,40.097094774246216,1774410134.1029449,1774410143.7197638,9.650094985961914,80.44544240572101,4,66.2572366722439,14.188205733477105,4,91.59617146841344,11.150729062692434,android_311YJP3P3080D200020
Hugo,v01,5,40.61899995803833,50.128225564956665,1774410144.274945,1774410153.750805,9.509225606918335,85.14318811671276,5,87.5383078727776,2.3951197560648296,5,99.39395850510805,14.250770388395281,video_RAW_YUV420
Jeremy,v01,1,0.0,10.000128269195557,1774419260.2347772,1774419270.2015717,10.000128269195557,91.43660245661461,1,41.59113166730499,49.845470789309616,1,89.15962490301563,2.2769775535989822,android_311YJP3P3080D200020
Jeremy,v01,2,10.035000085830688,19.99999189376831,1774419270.2697773,1774419280.2014413,9.964991807937622,87.10386826303565,2,89.46974893188306,2.36588066884741,2,59.14714553084808,27.956722732187572,video_RAW_YUV420
Jeremy,v01,3,20.266000032424927,30.000241994857788,1774419280.5007772,1774419290.2016828,9.734241962432861,85.3184844121866,3,73.28957894884411,12.028905463342497,3,101.22768900291669,15.909204590730084,video_RAW_YUV420
